06/08/2010;Mercury;59404;2700,03
06/08/2010;Republic Fleet EMP M;50000;910,71
07/08/2010;Arkonor Mining Crystal II;20;835000
07/08/2010;Sisters Core Scanner Probe;2;598072,01
07/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
07/08/2010;Republic Fleet EMP L;11452;1111,01
07/08/2010;Gallente Industrial;1;330999,99
07/08/2010;Kernite Mining Crystal II;5;221000,01
07/08/2010;Kernite Mining Crystal II;24;221000,01
07/08/2010;Kernite Mining Crystal II;3;221000,01
07/08/2010;Kernite Mining Crystal II;6;250001,01
07/08/2010;Kernite Mining Crystal II;7;250001,01
07/08/2010;Kernite Mining Crystal II;2;250001,01
07/08/2010;Republic Fleet Fusion S;56;353,14
07/08/2010;Mercury;5596;2700,03
07/08/2010;Mercury;59404;2700,03
07/08/2010;Republic Fleet EMP M;50000;910,71
07/08/2010;Large Cargohold Optimization I;3;17804065,01
07/08/2010;Large Cargohold Optimization I;2;17804065,01
08/08/2010;Arkonor Mining Crystal II;20;835000
08/08/2010;Sisters Core Scanner Probe;2;598072,01
08/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
08/08/2010;Republic Fleet EMP L;11452;1111,01
08/08/2010;Gallente Industrial;1;330999,99
08/08/2010;Kernite Mining Crystal II;5;221000,01
08/08/2010;Kernite Mining Crystal II;24;221000,01
08/08/2010;Kernite Mining Crystal II;3;221000,01
08/08/2010;Kernite Mining Crystal II;6;250001,01
08/08/2010;Kernite Mining Crystal II;7;250001,01
08/08/2010;Kernite Mining Crystal II;2;250001,01
08/08/2010;Republic Fleet Fusion S;56;353,14
08/08/2010;Mercury;5596;2700,03
08/08/2010;Mercury;59404;2700,03
08/08/2010;Republic Fleet EMP M;50000;910,71
08/08/2010;Large Cargohold Optimization I;3;17804065,01
08/08/2010;Large Cargohold Optimization I;2;17804065,01
08/08/2010;Large Cargohold Optimization I;5;17804065,01
08/08/2010;Buzzard;2;13084100,87
09/08/2010;Arkonor Mining Crystal II;20;835000
09/08/2010;Sisters Core Scanner Probe;2;598072,01
09/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
09/08/2010;Republic Fleet EMP L;11452;1111,01
09/08/2010;Gallente Industrial;1;330999,99
09/08/2010;Kernite Mining Crystal II;5;221000,01
09/08/2010;Kernite Mining Crystal II;24;221000,01
09/08/2010;Kernite Mining Crystal II;3;221000,01
09/08/2010;Kernite Mining Crystal II;6;250001,01
09/08/2010;Kernite Mining Crystal II;7;250001,01
09/08/2010;Kernite Mining Crystal II;2;250001,01
09/08/2010;Republic Fleet Fusion S;56;353,14
09/08/2010;Mercury;5596;2700,03
09/08/2010;Mercury;59404;2700,03
09/08/2010;Republic Fleet EMP M;50000;910,71
09/08/2010;Large Cargohold Optimization I;3;17804065,01
09/08/2010;Large Cargohold Optimization I;2;17804065,01
09/08/2010;Large Cargohold Optimization I;5;17804065,01
09/08/2010;Buzzard;2;13084100,87
09/08/2010;Caldari Navy Antimatter Charge S;84366;495,18
10/08/2010;Arkonor Mining Crystal II;20;835000
10/08/2010;Sisters Core Scanner Probe;2;598072,01
10/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
10/08/2010;Republic Fleet EMP L;11452;1111,01
10/08/2010;Gallente Industrial;1;330999,99
10/08/2010;Kernite Mining Crystal II;5;221000,01
10/08/2010;Kernite Mining Crystal II;24;221000,01
10/08/2010;Kernite Mining Crystal II;3;221000,01
10/08/2010;Kernite Mining Crystal II;6;250001,01
10/08/2010;Kernite Mining Crystal II;7;250001,01
10/08/2010;Kernite Mining Crystal II;2;250001,01
10/08/2010;Republic Fleet Fusion S;56;353,14
10/08/2010;Republic Fleet Fusion S;453;620,09
10/08/2010;Mercury;5596;2700,03
10/08/2010;Mercury;59404;2700,03
10/08/2010;Republic Fleet EMP M;50000;910,71
10/08/2010;Large Cargohold Optimization I;3;17804065,01
10/08/2010;Large Cargohold Optimization I;2;17804065,01
10/08/2010;Large Cargohold Optimization I;5;17804065,01
10/08/2010;Buzzard;2;13084100,87
10/08/2010;Caldari Navy Antimatter Charge S;84366;495,18
12/08/2010;Arkonor Mining Crystal II;20;835000
12/08/2010;Sisters Core Scanner Probe;2;598072,01
12/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
12/08/2010;Republic Fleet EMP L;11452;1111,01
12/08/2010;Gallente Industrial;1;330999,99
12/08/2010;Kernite Mining Crystal II;5;221000,01
12/08/2010;Kernite Mining Crystal II;24;221000,01
12/08/2010;Kernite Mining Crystal II;3;221000,01
12/08/2010;Kernite Mining Crystal II;6;250001,01
12/08/2010;Kernite Mining Crystal II;7;250001,01
